,0
GO:0006307,9.0
GO:0006308,8.0
GO:0006309,11.0
GO:0006310,57.0
GO:0006311,3.0
GO:0006312,7.0
GO:0006313,1.0
GO:0006325,211.0
GO:0006334,88.0
GO:0006335,6.0
GO:0006337,19.0
GO:0006338,177.0
GO:0006346,14.0
GO:0006349,15.0
GO:0006351,52.0
GO:0006352,18.0
GO:0006353,10.0
GO:0006354,2.0
GO:0006355,640.0
GO:0006356,3.0
GO:0006357,1174.0
GO:0006359,9.0
GO:0006360,18.0
GO:0006361,7.0
GO:0006362,4.0
GO:0006363,3.0
GO:0006364,115.0
GO:0006366,223.0
GO:0006367,42.0
GO:0006368,35.0
GO:0006369,14.0
GO:0006370,7.0
GO:0006376,20.0
GO:0006378,32.0
GO:0006379,7.0
GO:0006382,6.0
GO:0006383,29.0
GO:0006384,7.0
GO:0006386,1.0
GO:0006388,12.0
GO:0006390,11.0
GO:0006391,4.0
GO:0006392,1.0
GO:0006393,2.0
GO:0006396,70.0
GO:0006397,182.0
GO:0006398,6.0
GO:0006399,2.0
GO:0006400,27.0
GO:0006401,31.0
GO:0006402,27.0
GO:0006403,2.0
GO:0006404,3.0
GO:0006405,18.0
GO:0006406,56.0
GO:0006407,2.0
GO:0006408,4.0
GO:0006409,3.0
GO:0006412,171.0
GO:0006413,43.0
GO:0006414,16.0
GO:0006415,4.0
GO:0006417,59.0
GO:0006418,18.0
GO:0006419,3.0
GO:0006420,3.0
GO:0006421,2.0
GO:0006422,2.0
GO:0006423,2.0
GO:0006424,2.0
GO:0006425,2.0
GO:0006427,2.0
GO:0006428,2.0
GO:0006429,2.0
GO:0006430,1.0
GO:0006431,2.0
GO:0006432,4.0
GO:0006433,2.0
GO:0006434,2.0
GO:0006435,3.0
GO:0006436,1.0
GO:0006437,1.0
GO:0006438,2.0
GO:0006446,30.0
GO:0006448,3.0
GO:0006449,6.0
GO:0006450,5.0
GO:0006457,142.0
GO:0006458,3.0
GO:0006463,1.0
GO:0006465,14.0
GO:0006468,519.0
GO:0006469,67.0
GO:0006470,147.0
GO:0006473,15.0
GO:0006474,9.0
GO:0006475,4.0
GO:0006476,13.0
GO:0006477,6.0
GO:0006478,2.0
GO:0006479,27.0
GO:0006480,1.0
GO:0006481,2.0
GO:0006482,10.0
GO:0006486,80.0
GO:0006487,54.0
GO:0006488,16.0
GO:0006489,5.0
GO:0006490,4.0
GO:0006491,18.0
GO:0006493,66.0
GO:0006497,16.0
GO:0006499,3.0
GO:0006501,5.0
GO:0006505,3.0
GO:0006506,27.0
GO:0006507,1.0
